NEC - PC-98 Missing

Boxarts  2/106  1.89%
Snaps    2/106  1.89%
Titles   2/106  1.89%
Total    6/318  1.89%

Name                                                                    Boxart  Snap  Title
Guardian Recall - Shugojuu Shoukan (Japan)                                 ✗      ✗     ✗
Innocent Tour (Japan)                                                      ✗      ✗     ✗
Jinmon Yuugi (Japan)                                                       ✗      ✗     ✗
Kanako (Japan)                                                             ✗      ✗     ✗
Konoyo no Hate de Koi o Utau Shoujo - Yu-No (Japan)                        ✗      ✗     ✗
Kousoku - Yorokobi no Aegi (Japan)                                         ✗      ✗     ✗
Kyrandia II - The Hand of Fate (Japan)                                     ✗      ✗     ✗
Lesser Mern - Special Director's Edition (Japan)                           ✗      ✗     ✗
Logicool Mouseware 8.2J (Japan) (En,Ja)                                    ✗      ✗     ✗
Love Escalator (Japan)                                                     ✗      ✗     ✗
Magical Squadron (Japan)                                                   ✗      ✗     ✗
Mahou Shoujo Pretty Samy - Kouhen (Japan)                                  ✗      ✗     ✗
Mahou Shoujo Pretty Samy - Zenpen (Japan)                                  ✗      ✗     ✗
Making Candy - Oki ni Mesumama (Japan)                                     ✗      ✗     ✗
Manji PSYyuuki (Japan) (Install CD-ROM)                                    ✗      ✗     ✗
Master of Magic (Japan)                                                    ✗      ✗     ✗
Menzoberranzan - Yami no Monshou (Japan)                                   ✗      ✗     ✗
Microsoft Windows 98 Second Edition (Japan)                                ✗      ✗     ✗
Might and Magic - Clouds of Xeen (Japan)                                   ✗      ✗     ✗
Moonlight Energy 2 (Japan)                                                 ✗      ✗     ✗
Moonlight-chan Rin shan (Japan)                                            ✗      ✗     ✗
My Home Dream 2 (Japan)                                                    ✗      ✗     ✗
NEC Demonstration CD-ROM - Evolution and Dinosaurs (Japan)                 ✗      ✗     ✗
Necronomicon (Japan)                                                       ✗      ✗     ✗
Ningen Konchuu - Nozoki (Japan)                                            ✗      ✗     ✗
PILcaSEX (Japan)                                                           ✗      ✗     ✗
Photo Genic (Japan)                                                        ✗      ✗     ✗
Policenauts (Japan)                                                        ✗      ✗     ✗
Prince of Persia 2 - The Shadow _ The Flame (Japan)                        ✗      ✗     ✗
Puyo Puyo Tsuu (Japan)                                                     ✗      ✗     ✗
R-A-M 1 - New Evolution Organize (Japan)                                   ✗      ✗     ✗
RPG Tkool Dante98 II (Japan)                                               ✗      ✗     ✗
Record of Lodoss War - Lodoss-tou Senki II - Goshiki no Maryuu (Japan)     ✗      ✗     ✗
Ribbon (Japan)                                                             ✗      ✗     ✗
Rusty                                                                      ✗      ✗     ✗
Ryouki no Ori (Japan)                                                      ✗      ✗     ✗
Saint Diary - Kiyoka-chan no Nikki (Japan)                                 ✗      ✗     ✗
Sangokushi V (Japan)                                                       ✗      ✗     ✗
Schwarzschild EX - Tessa no Seigun (Japan)                                 ✗      ✗     ✗
Schwarzschild GX - Sabita Sousei (Japan)                                   ✗      ✗     ✗
Shin-ou Densetsu Crystania DX (Japan)                                      ✗      ✗     ✗
Shinpi no Sekai El-Hazard - El-Hazard - The Magnificent World (Japan)      ✗      ✗     ✗
Silent Service, The - Chinmoku no Kantai (Japan)                           ✗      ✗     ✗
Sorcer Kingdom (Japan)                                                     ✗      ✗     ✗
Strike Commander (Japan)                                                   ✗      ✗     ✗
Syndicate (Japan)                                                          ✗      ✗     ✗
TFX - The Cutting Edge of Aerial Combat (Japan)                            ✗      ✗     ✗
Teitoku no Ketsudan III (Japan)                                            ✗      ✗     ✗
Theme Park (Japan)                                                         ✗      ✗     ✗
Tokio 2 - Kaitaku Imin Boshuuchuu! (Japan)                                 ✗      ✗     ✗
Touhou  Fuumaroku - the Story of Eastern Wonderland                        ✗      ✗     ✗
Touhou  Kaikidan - Mystic Square                                           ✗      ✗     ✗
Touhou Gensoukyou - Lotus Land Story                                       ✗      ✗     ✗
Touhou Reiiden - Highly Responsive to Prayers                              ✗      ✗     ✗
Touhou Yumejikuu - the Phantasmagoria of Dim.Dream                         ✗      ✗     ✗
Tuned Heart (Japan)                                                        ✗      ✗     ✗
Uki Uki Island (Japan)                                                     ✗      ✗     ✗
Ultima VIII - Pagan (Japan)                                                ✗      ✗     ✗
Umanari 1 Furlong Theater 2 (Japan)                                        ✗      ✗     ✗
Viper CTR - Asuka (Japan)                                                  ✗      ✗     ✗
Virtuacall (Japan)                                                         ✗      ✗     ✗
Waku Waku Mahjong Panic! 2 - Kokushi Musou (Japan)                         ✗      ✗     ✗
Watashi (Japan)                                                            ✗      ✗     ✗
X Girl (Japan)                                                             ✗      ✗     ✗
Yatsu no Na wa Diamond - His Name Is Diamond (Japan)                       ✗      ✗     ✗
Yumemizaka (Japan)                                                         ✗      ✗     ✗
Yuurou - Transient Sands (Japan)                                           ✗      ✗     ✗
Zai Metajo (Japan)                                                         ✗      ✗     ✗
